月,通算週,月内週,競馬場,レース名,グレード,馬場,距離(m),年齢条件,性別条件,フルゲート,トライアル,対象G1,1着本賞金(万円),収得賞金(万円)
3月,第10週,第2週,中山,スプリングS [皐月賞トライアル],G2,芝,1800,3歳,牡・セン限定,8頭,○,皐月賞,5400,0
3月,第11週,第3週,阪神,阪神大賞典 [天皇賞（春）トライアル],G2,芝,3000,4歳以上,混合,8頭,○,天皇賞（春）,6700,0
3月,第11週,第3週,大井,京浜盃 [羽田盃トライアル],G2,ダート,1700,3歳,混合,8頭,○,羽田盃,4000,0
3月,第11週,第3週,中山,フラワーC,G3,芝,1800,3歳,牝馬限定,8頭,-,-,3800,0
3月,第12週,第4週,中京,高松宮記念,G1,芝,1200,4歳以上,混合,8頭,-,-,17000,0
3月,第12週,第4週,中山,日経賞 [天皇賞（春）トライアル],G2,芝,2500,4歳以上,混合,8頭,○,天皇賞（春）,6700,0
3月,第12週,第4週,阪神,毎日杯,G3,芝,1800,3歳,混合,8頭,-,-,4000,0
3月,第12週,第4週,中山,ダービー卿CT,G3,芝,1600,4歳以上,混合,8頭,-,-,4100,0
4月,第13週,第1週,阪神,大阪杯,G1,芝,2000,4歳以上,混合,8頭,-,-,20000,0
4月,第13週,第1週,中山,中山牝馬S,G3,芝,1800,4歳以上,牝馬限定,8頭,-,-,3800,0
4月,第13週,第1週,中山,ニュージーランドT [NHKマイルカップトライアル],G2,芝,1600,3歳,混合,8頭,○,NHKマイルカップ,5400,0
4月,第13週,第1週,阪神,アーリントンカップ [NHKマイルカップトライアル],G3,芝,1600,3歳,混合,8頭,○,NHKマイルカップ,4000,0
4月,第14週,第2週,阪神,桜花賞,G1,芝,1600,3歳,牝馬限定,8頭,-,-,14000,0
4月,第14週,第2週,阪神,阪神牝馬S [ヴィクトリアマイルトライアル],G2,芝,1600,4歳以上,牝馬限定,8頭,○,ヴィクトリアマイル,5500,0
4月,第15週,第3週,中山,皐月賞,G1,芝,2000,3歳,牡・セン限定,8頭,-,-,20000,0
4月,第15週,第3週,阪神,アンタレスS,G3,ダート,1800,4歳以上,混合,8頭,-,-,4000,0
4月,第15週,第3週,東京,フローラS [オークストライアル],G2,芝,2000,3歳,牝馬限定,8頭,○,オークス,5200,0
4月,第16週,第4週,東京,青葉賞 [日本ダービートライアル],G2,芝,2400,3歳,牡・セン限定,8頭,○,日本ダービー,5400,0
4月,第16週,第4週,京都,京都新聞杯 [日本ダービートライアル],G2,芝,2200,3歳,牡・セン限定,8頭,○,日本ダービー,5400,0
4月,第16週,第4週,京都,ユニコーンS [東京ダービートライアル],G3,ダート,1900,3歳,混合,8頭,○,東京ダービー,4000,0
4月,第16週,第4週,京都,マイラーズC [安田記念トライアル],G2,芝,1600,4歳以上,混合,8頭,○,安田記念,5900,0
4月,第16週,第4週,大井,羽田盃,G1,ダート,1800,3歳,混合,8頭,-,-,8000,0
5月,第17週,第1週,京都,天皇賞（春）,G1,芝,3200,4歳以上,混合,8頭,-,-,22000,0
5月,第17週,第1週,船橋,かしわ記念,G1,ダート,1600,4歳以上,混合,8頭,-,-,8000,0
5月,第17週,第1週,東京,京王杯スプリングC [安田記念トライアル],G2,芝,1400,4歳以上,混合,8頭,○,安田記念,5900,0
5月,第18週,第2週,東京,NHKマイルカップ,G1,芝,1600,3歳,混合,8頭,-,-,13000,0
5月,第18週,第2週,新潟,新潟大賞典,G3,芝,2000,4歳以上,混合,8頭,-,-,4300,0
5月,第19週,第3週,東京,ヴィクトリアマイル,G1,芝,1600,4歳以上,牝馬限定,8頭,-,-,13000,0
5月,第19週,第3週,京都,平安S,G3,ダート,1900,4歳以上,混合,8頭,-,-,4000,0
5月,第20週,第4週,東京,オークス,G1,芝,2400,3歳,牝馬限定,8頭,-,-,15000,0
6月,第21週,第1週,東京,日本ダービー,G1,芝,2400,3歳,牡・セン限定,8頭,-,-,30000,0
6月,第21週,第1週,大井,東京ダービー,G1,ダート,2000,3歳,混合,8頭,-,-,10000,0
6月,第21週,第1週,東京,目黒記念,G2,芝,2500,4歳以上,混合,8頭,-,-,5700,0
6月,第21週,第1週,阪神,葵ステークス,G3,芝,1200,3歳,混合,8頭,-,-,4000,0
6月,第22週,第2週,東京,安田記念,G1,芝,1600,4歳以上,混合,8頭,-,-,18000,0
6月,第22週,第2週,阪神,鳴尾記念,G3,芝,2000,4歳以上,混合,8頭,-,-,4300,0
6月,第23週,第3週,東京,エプソムC,G3,芝,1800,4歳以上,混合,8頭,-,-,4300,0
6月,第23週,第3週,阪神,マーメイドS,G3,芝,2000,4歳以上,牝馬限定,8頭,-,-,3800,0
6月,第24週,第4週,阪神,宝塚記念,G1,芝,2200,3歳以上,混合,8頭,-,-,22000,0
7月,第25週,第1週,福島,ラジオNIKKEI賞,G3,芝,1800,3歳,混合,8頭,-,-,4000,0
7月,第25週,第1週,中京,CBC賞,G3,芝,1200,3歳以上,混合,8頭,-,-,4100,0
7月,第26週,第2週,福島,七夕賞,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
7月,第26週,第2週,小倉,プロキオンS,G3,ダート,1700,3歳以上,混合,8頭,-,-,4000,0
7月,第27週,第3週,小倉,小倉記念,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
7月,第28週,第4週,新潟,アイビスサマーダッシュ,G3,芝,1000,3歳以上,混合,8頭,-,-,4100,0
7月,第28週,第4週,新潟,クイーンS,G3,芝,1800,3歳以上,牝馬限定,8頭,-,-,3800,0
8月,第29週,第1週,新潟,レパードS [ジャパンダートクラシックトライアル],G3,ダート,1800,3歳,混合,8頭,○,ジャパンダートクラシック,4000,0
8月,第29週,第1週,新潟,エルムS,G3,ダート,1700,3歳以上,混合,8頭,-,-,4000,0
8月,第30週,第2週,小倉,小倉記念,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
8月,第30週,第2週,新潟,関屋記念,G3,芝,1600,3歳以上,混合,8頭,-,-,4100,0
8月,第31週,第3週,小倉,北九州記念,G3,芝,1200,3歳以上,混合,8頭,-,-,4100,0
8月,第31週,第3週,新潟,新潟2歳S,G3,芝,1600,2歳,混合,8頭,-,-,3100,0
8月,第31週,第3週,新潟,キーンランドC [スプリンターズSトライアル],G3,芝,1200,3歳以上,混合,8頭,○,スプリンターズS,4300,0
8月,第32週,第4週,新潟,新潟記念,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
8月,第32週,第4週,小倉,小倉2歳S,G3,芝,1200,2歳,混合,8頭,-,-,3100,0
9月,第33週,第1週,中山,紫苑S [秋華賞トライアル],G2,芝,2000,3歳,牝馬限定,8頭,○,秋華賞,5200,0
9月,第33週,第1週,阪神,ローズS [秋華賞トライアル],G2,芝,1800,3歳,牝馬限定,8頭,○,秋華賞,5200,0
9月,第33週,第1週,中山,京成杯オータムH,G3,芝,1600,3歳以上,混合,8頭,-,-,4100,0
9月,第33週,第1週,盛岡,不来方賞 [ジャパンダートクラシックトライアル],G2,ダート,2000,3歳,混合,8頭,○,ジャパンダートクラシック,4000,0
9月,第34週,第2週,中山,セントライト記念 [菊花賞トライアル],G2,芝,2200,3歳,牡・セン限定,8頭,○,菊花賞,5400,0
9月,第34週,第2週,阪神,神戸新聞杯 [菊花賞トライアル],G2,芝,2400,3歳,牡・セン限定,8頭,○,菊花賞,5400,0
9月,第35週,第3週,中山,オールカマー [天皇賞（秋）トライアル],G2,芝,2200,3歳以上,混合,8頭,○,天皇賞（秋）,6700,0
9月,第35週,第3週,東京,毎日王冠 [天皇賞（秋）トライアル],G2,芝,1800,3歳以上,混合,8頭,○,天皇賞（秋）,6700,0
9月,第35週,第3週,船橋,日本テレビ盃 [JBCクラシックトライアル],G2,ダート,1800,3歳以上,混合,8頭,○,JBCクラシック,4000,0
9月,第36週,第4週,中山,スプリンターズS,G1,芝,1200,3歳以上,混合,8頭,-,-,17000,0
9月,第36週,第4週,阪神,シリウスS,G3,ダート,2000,3歳以上,混合,8頭,-,-,4000,0
10月,第37週,第1週,京都,京都大賞典 [ジャパンカップトライアル],G2,芝,2400,3歳以上,混合,8頭,○,ジャパンカップ,6700,0
10月,第37週,第1週,東京,府中牝馬S [エリザベス女王杯トライアル],G2,芝,1800,3歳以上,牝馬限定,8頭,○,エリザベス女王杯,5500,0
10月,第37週,第1週,東京,サウジアラビアRC,G3,芝,1600,2歳,混合,8頭,-,-,3300,0
10月,第37週,第1週,盛岡,マイルCS南部杯,G1,ダート,1600,3歳以上,混合,8頭,-,-,8000,0
10月,第38週,第2週,京都,秋華賞,G1,芝,2000,3歳,牝馬限定,8頭,-,-,11000,0
10月,第38週,第2週,大井,ジャパンダートクラシック,G1,ダート,2000,3歳,混合,8頭,-,-,10000,0
10月,第38週,第2週,東京,富士S [マイルチャンピオンシップトライアル],G2,芝,1600,3歳以上,混合,8頭,○,マイルチャンピオンシップ,5900,0
10月,第38週,第2週,京都,スワンS [マイルチャンピオンシップトライアル],G2,芝,1400,3歳以上,混合,8頭,○,マイルチャンピオンシップ,5900,0
10月,第39週,第3週,京都,菊花賞,G1,芝,3000,3歳,牡・セン限定,8頭,-,-,20000,0
10月,第40週,第4週,東京,天皇賞（秋）,G1,芝,2000,3歳以上,混合,8頭,-,-,22000,0
10月,第40週,第4週,東京,武蔵野S [チャンピオンズカップトライアル],G3,ダート,1600,3歳以上,混合,8頭,○,チャンピオンズカップ,4000,0
10月,第40週,第4週,京都,みやこS [チャンピオンズカップトライアル],G3,ダート,1800,3歳以上,混合,8頭,○,チャンピオンズカップ,4000,0
10月,第40週,第4週,東京,アルテミスS [阪神ジュベナイルフィリーズトライアル],G3,芝,1600,2歳,牝馬限定,8頭,○,阪神ジュベナイルフィリーズ,3100,0
11月,第41週,第1週,大井,JBCクラシック,G1,ダート,2000,3歳以上,混合,8頭,-,-,10000,0
11月,第41週,第1週,大井,JBCスプリント,G1,ダート,1200,3歳以上,混合,8頭,-,-,8000,0
11月,第41週,第1週,大井,JBC2歳優駿 [全日本２歳優駿トライアル],G3,ダート,1800,2歳,混合,8頭,○,全日本２歳優駿,3500,0
11月,第41週,第1週,大井,兵庫ジュニアグランプリ [全日本２歳優駿トライアル],G2,ダート,1400,2歳,混合,8頭,○,全日本２歳優駿,4000,0
11月,第41週,第1週,東京,京王杯2歳S [朝日杯フューチュリティSトライアル],G2,芝,1400,2歳,牡・セン限定,8頭,○,朝日杯フューチュリティS,3800,0
11月,第41週,第1週,京都,ファンタジーS [阪神ジュベナイルフィリーズトライアル],G3,芝,1400,2歳,牝馬限定,8頭,○,阪神ジュベナイルフィリーズ,3100,0
11月,第42週,第2週,京都,エリザベス女王杯,G1,芝,2200,3歳以上,牝馬限定,8頭,-,-,14000,0
11月,第42週,第2週,京都,デイリー杯2歳S [朝日杯フューチュリティSトライアル],G2,芝,1600,2歳,牡・セン限定,8頭,○,朝日杯フューチュリティS,3800,0
11月,第42週,第2週,福島,福島記念,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
11月,第43週,第3週,京都,マイルチャンピオンシップ,G1,芝,1600,3歳以上,混合,8頭,-,-,18000,0
11月,第43週,第3週,東京,東京スポーツ杯2歳S [ホープフルSトライアル],G2,芝,1800,2歳,混合,8頭,○,ホープフルS,3800,0
11月,第43週,第3週,京都,京都2歳S [ホープフルSトライアル],G3,芝,2000,2歳,混合,8頭,○,ホープフルS,3300,0
11月,第44週,第4週,東京,ジャパンカップ,G1,芝,2400,3歳以上,混合,8頭,-,-,50000,0
11月,第44週,第4週,京都,京阪杯,G3,芝,1200,3歳以上,混合,8頭,-,-,4100,0
12月,第45週,第1週,中京,チャンピオンズカップ,G1,ダート,1800,3歳以上,混合,8頭,-,-,12000,0
12月,第45週,第1週,中山,ステイヤーズS,G2,芝,3600,3歳以上,混合,8頭,-,-,6200,0
12月,第45週,第1週,阪神,チャレンジカップ,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
12月,第46週,第2週,阪神,阪神ジュベナイルフィリーズ,G1,芝,1600,2歳,牝馬限定,8頭,-,-,6500,0
12月,第46週,第2週,川崎,全日本２歳優駿,G1,ダート,1600,2歳,混合,8頭,-,-,4200,0
12月,第46週,第2週,中山,カペラS,G3,ダート,1200,3歳以上,混合,8頭,-,-,3800,0
12月,第46週,第2週,阪神,中日新聞杯,G3,芝,2000,3歳以上,混合,8頭,-,-,4300,0
12月,第47週,第3週,阪神,朝日杯フューチュリティS,G1,芝,1600,2歳,牡・セン限定,8頭,-,-,7000,0
12月,第47週,第3週,中山,ターコイズS,G3,芝,1600,3歳以上,牝馬限定,8頭,-,-,3800,0
12月,第48週,第4週,中山,有馬記念,G1,芝,2500,3歳以上,混合,8頭,-,-,50000,0
12月,第48週,第4週,中山,ホープフルS,G1,芝,2000,2歳,混合,8頭,-,-,7000,0
12月,第48週,第4週,大井,東京大賞典,G1,ダート,2000,3歳以上,混合,8頭,-,-,10000,0
12月,第48週,第4週,阪神,阪神カップ,G2,芝,1400,3歳以上,混合,8頭,-,-,6700,0
1月,第1週,第1週,中山,ジュニアカップ(L),L,芝,1600,3歳,混合,8頭,-,-,2500,1000
1月,第2週,第2週,中山,ニューイヤーS(L),L,芝,1600,4歳以上,混合,8頭,-,-,2500,1000
1月,第3週,第3週,中京,紅梅ステークス(L),L,芝,1400,3歳,牝馬限定,8頭,-,-,2500,1000
1月,第4週,第4週,東京,白富士ステークス(L),L,芝,2000,4歳以上,混合,8頭,-,-,2500,1000
2月,第5週,第1週,阪神,洛陽ステークス(L),L,芝,1600,4歳以上,混合,8頭,-,-,2500,1000
2月,第6週,第2週,東京,ヒヤシンスS(L),L,ダート,1600,3歳,混合,8頭,-,-,2500,1000
2月,第8週,第4週,阪神,仁川ステークス(L),L,ダート,2000,4歳以上,混合,8頭,-,-,2500,1000
3月,第9週,第1週,中山,総武ステークス(L),L,ダート,1800,4歳以上,混合,8頭,-,-,2500,1000
3月,第9週,第1週,中山,アネモネS(L) [桜花賞トライアル],L,芝,1600,3歳,牝馬限定,8頭,○,桜花賞,2500,1000
3月,第10週,第2週,阪神,若葉ステークス(L) [皐月賞トライアル],L,芝,2000,3歳,牡・セン限定,8頭,○,皐月賞,2500,1000
3月,第12週,第4週,阪神,六甲ステークス(L),L,芝,1600,4歳以上,混合,8頭,-,-,2500,1000
4月,第13週,第1週,中山,春雷ステークス(L),L,芝,1200,4歳以上,混合,8頭,-,-,2500,1000
4月,第14週,第2週,福島,福島民報杯(L),L,芝,2000,4歳以上,混合,8頭,-,-,2500,1000
4月,第15週,第3週,東京,スイートピーS(L) [オークストライアル],L,芝,1800,3歳,牝馬限定,8頭,○,オークス,2500,1000
4月,第16週,第4週,東京,オアシスS(L),L,ダート,1600,4歳以上,混合,8頭,-,-,2500,1000
4月,第16週,第4週,東京,プリンシパルS(L) [日本ダービートライアル],L,芝,2000,3歳,牡・セン限定,8頭,○,日本ダービー,2500,1000
5月,第19週,第3週,京都,都大路ステークス(L),L,芝,1800,4歳以上,混合,8頭,-,-,2500,1000
5月,第20週,第4週,東京,メイステークス(L),L,芝,1800,4歳以上,混合,8頭,-,-,2500,1000
6月,第21週,第1週,阪神,安土城ステークス(L),L,芝,1400,4歳以上,混合,8頭,-,-,2500,1000
6月,第22週,第2週,阪神,米子ステークス(L),L,芝,1600,4歳以上,混合,8頭,-,-,2500,1000
6月,第23週,第3週,東京,パラダイスS(L),L,芝,1400,4歳以上,混合,8頭,-,-,2500,1000
6月,第24週,第4週,阪神,巴賞(L),L,芝,1800,3歳以上,混合,8頭,-,-,2500,1000
7月,第26週,第2週,福島,福島テレビOP(L),L,芝,1200,3歳以上,混合,8頭,-,-,2500,1000
7月,第27週,第3週,小倉,マリーンステークス(L),L,ダート,1700,3歳以上,混合,8頭,-,-,2500,1000
7月,第28週,第4週,新潟,アイビスSD前哨戦(L),L,芝,1000,3歳以上,混合,8頭,-,-,2500,1000
8月,第30週,第2週,新潟,関屋記念直前OP(L),L,芝,1600,3歳以上,混合,8頭,-,-,2500,1000
8月,第32週,第4週,新潟,朱鷺ステークス(L),L,芝,1400,3歳以上,混合,8頭,-,-,2500,1000
9月,第34週,第2週,阪神,エニフステークス(L),L,ダート,1400,3歳以上,混合,8頭,-,-,2500,1000
9月,第35週,第3週,中山,ラジオ日本賞(L),L,ダート,1800,3歳以上,混合,8頭,-,-,2500,1000
9月,第36週,第4週,阪神,ポートアイランドS(L),L,芝,1600,3歳以上,混合,8頭,-,-,2500,1000
10月,第37週,第1週,京都,オパールS(L),L,芝,1200,3歳以上,混合,8頭,-,-,2500,1000
10月,第38週,第2週,東京,信越ステークス(L),L,芝,1400,3歳以上,混合,8頭,-,-,2500,1000
10月,第39週,第3週,東京,ブラジルカップ(L),L,ダート,2100,3歳以上,混合,8頭,-,-,2500,1000
10月,第40週,第4週,京都,カシオペアS(L),L,芝,1800,3歳以上,混合,8頭,-,-,2500,1000
11月,第41週,第1週,東京,カトレアステークス(L) [全日本２歳優駿トライアル],L,ダート,1600,2歳,混合,8頭,○,全日本２歳優駿,2500,1000
11月,第41週,第1週,東京,ルミエールオータムD(L),L,芝,1000,3歳以上,混合,8頭,-,-,2500,1000
11月,第42週,第2週,東京,オーロカップ(L),L,芝,1400,3歳以上,混合,8頭,-,-,2500,1000
11月,第43週,第3週,京都,アンドロメダS(L),L,芝,2000,3歳以上,混合,8頭,-,-,2500,1000
11月,第44週,第4週,東京,キャピタルS(L),L,芝,1600,3歳以上,混合,8頭,-,-,2500,1000
12月,第45週,第1週,中山,師走ステークス(L),L,ダート,1800,3歳以上,混合,8頭,-,-,2500,1000
12月,第46週,第2週,阪神,リゲルステークス(L),L,芝,1600,3歳以上,混合,8頭,-,-,2500,1000
12月,第47週,第3週,中山,ディセンバーS(L),L,芝,1800,3歳以上,混合,8頭,-,-,2500,1000
12月,第48週,第4週,阪神,ベテルギウスS(L),L,ダート,1800,3歳以上,混合,8頭,-,-,2500,1000
1月,第1週,第1週,中山,初富士S(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
1月,第1週,第1週,中京,烏丸S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
1月,第1週,第1週,小倉,ムーンライトH特別(3勝C),COND_3W,芝,1200,4歳以上,混合,8頭,-,-,1840,600
1月,第2週,第2週,中山,初春S(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
1月,第2週,第2週,東京,緑風S特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
1月,第2週,第2週,中京,白秋S特別(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
1月,第3週,第3週,中山,節分S(3勝C),COND_3W,芝,1600,4歳以上,混合,8頭,-,-,1840,600
1月,第3週,第3週,中京,安土城S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
1月,第3週,第3週,小倉,トルマリンS特別(3勝C),COND_3W,ダート,1200,4歳以上,混合,8頭,-,-,1840,600
1月,第4週,第4週,中山,飛鳥S(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
1月,第4週,第4週,東京,垂水S特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
1月,第4週,第4週,川崎,魚沼S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
2月,第5週,第1週,東京,雲雀S(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
2月,第5週,第1週,阪神,夏至S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
2月,第5週,第1週,小倉,紅葉S特別(3勝C),COND_3W,芝,1200,4歳以上,混合,8頭,-,-,1840,600
2月,第6週,第2週,東京,アクアマリンS(3勝C),COND_3W,芝,1600,4歳以上,混合,8頭,-,-,1840,600
2月,第6週,第2週,阪神,甲東特別特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
2月,第6週,第2週,小倉,ユートピアS特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
2月,第7週,第3週,東京,甲南S(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
2月,第7週,第3週,阪神,天の川S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
2月,第7週,第3週,大井,奥羽S特別(3勝C),COND_3W,ダート,1200,4歳以上,混合,8頭,-,-,1840,600
2月,第8週,第4週,中山,春風S(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
2月,第8週,第4週,阪神,佐渡S特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
2月,第8週,第4週,中京,ノベンバーS特別(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
3月,第9週,第1週,中山,美浦S(3勝C),COND_3W,芝,1600,4歳以上,混合,8頭,-,-,1840,600
3月,第9週,第1週,阪神,博多S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
3月,第9週,第1週,中京,清水S特別(3勝C),COND_3W,ダート,1200,4歳以上,混合,8頭,-,-,1840,600
3月,第10週,第2週,中山,心斎橋S(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
3月,第10週,第2週,阪神,日本海S特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
3月,第10週,第2週,中京,市川S特別(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
3月,第11週,第3週,中山,サンシャインS(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
3月,第11週,第3週,阪神,長篠S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
3月,第11週,第3週,大井,御影S特別(3勝C),COND_3W,ダート,1200,4歳以上,混合,8頭,-,-,1840,600
3月,第12週,第4週,中山,錦S(3勝C),COND_3W,芝,1600,4歳以上,混合,8頭,-,-,1840,600
3月,第12週,第4週,阪神,レインボーS特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
3月,第12週,第4週,中京,元町S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
4月,第13週,第1週,阪神,むらさき賞(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
4月,第13週,第1週,中山,ムーンライトH特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
4月,第13週,第1週,福島,逆瀬川S特別(3勝C),COND_3W,芝,1200,4歳以上,混合,8頭,-,-,1840,600
4月,第14週,第2週,阪神,烏丸S(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
4月,第14週,第2週,中山,白秋S特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
4月,第14週,第2週,福島,クリスマスC特別(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
4月,第15週,第3週,東京,緑風S(3勝C),COND_3W,芝,1600,4歳以上,混合,8頭,-,-,1840,600
4月,第15週,第3週,阪神,トルマリンS特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
4月,第15週,第3週,中山,サンタクロースH特別(3勝C),COND_3W,ダート,1200,4歳以上,混合,8頭,-,-,1840,600
4月,第16週,第4週,東京,安土城S(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
4月,第16週,第4週,京都,魚沼S特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
4月,第16週,第4週,大井,斑鳩S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
5月,第17週,第1週,京都,垂水S(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
5月,第17週,第1週,東京,紅葉S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
5月,第17週,第1週,船橋,うずしおS特別(3勝C),COND_3W,ダート,1200,4歳以上,混合,8頭,-,-,1840,600
5月,第18週,第2週,東京,夏至S(3勝C),COND_3W,芝,1600,4歳以上,混合,8頭,-,-,1840,600
5月,第18週,第2週,京都,ユートピアS特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
5月,第18週,第2週,新潟,潮騒特別特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
